Names,TIC ID,Period (days),Period (days),Period (days) err,Duration (hours),Duration (hours) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Mass (M_Sun),Stellar Mass (M_Sun) err,Sectors,Date TOI Alerted (UTC),Date TOI Updated (UTC),Date Modified,Comments
820.01,111991770,3.752062,3.752062,0.000147,3.680056,0.038559,14.937131,0.135883,6300.0,,1.48,,1.176,0.152175,11,2019-06-17,2019-06-17,2021-10-29 00:00:00,WASP-15b
818.01,46096489,3.118536,3.118536,8.4e-05,2.043274,0.024721,11.857124,0.105384,5700.0,,0.95,,1.02,0.124764,11,2019-06-17,2019-06-17,2021-10-29 00:00:00,WASP-16b
755.01,73228647,2.53976177261273,2.53976177261273,0.00062022096,2.33954439740443,0.8060257,2.01136115624956,3.521125,6003.0,192.0,0.986648976802826,0.0502011,1.03,0.135847,37,2019-06-11,2019-06-11,2021-10-29 00:00:00,HD 110113 b
763.01,178819686,5.60244775030576,5.60244775030576,0.0015548705,2.99603471682006,0.625347,2.41708905104619,2.0739105,5767.0,189.0,0.906760990619659,0.0467135,0.97,0.114611,"10,37",2019-06-11,2019-06-11,2021-10-29 00:00:00,TOI-763 b/ TOI-763.01
763.02,178819686,12.2685441355607,12.2685441355607,0.0062695094,4.2528107196883,0.39414525,2.94149854028889,0.28694195,5767.0,189.0,0.906760990619659,0.0467135,0.97,0.114611,"10,37",2019-06-11,2021-07-01,2021-10-29 00:00:00,TOI-763 c / TOI-763.02
767.01,229047362,3.764873,3.764873,6.9e-05,2.759996,0.022034,13.95182,0.090622,5703.0,,0.92,,1.025,0.123143,10,2019-06-11,2019-06-11,2021-10-29 00:00:00,WASP-25 b
780.01,398943781,3.05244079905041,3.05244079905041,5.3460764e-05,2.62265554641456,0.017548358,13.0098047641906,0.6206067,5545.0,,0.880069017410278,0.0416458,0.976,0.123773,"10,37",2019-06-11,2021-07-01,2021-10-29 00:00:00,WASP-41 b
731.01,34068865,0.321925795208702,0.321925795208702,6.2123504e-06,0.49915856425108,0.07305733,1.02767739966021,0.15093485,3518.0,84.0,0.457751005887985,0.0135803,0.454797,0.0202618,"9,35,36",2019-06-06,2021-11-10,2021-11-10 00:00:00,L1 PC; centroid offset but not centered on anything else; epoch from qlp-s36-tois; all other parameters from spoc-s01-s36 multisector
741.01,359271092,7.57697539278116,7.57697539278116,4.1426312e-05,1.86120374629611,0.2823111,1.02062705183247,0.223829,3766.0,95.0,0.525276005268097,0.0155831,0.522473,0.0202738,"9,10,36",2019-06-06,2021-07-06,2021-10-29 00:00:00,Crowded field. Possibly off-target.
270.01,259377017,5.66056931603069,5.66056931603069,3.858381e-06,1.66317040312773,0.052896116,2.40708723087558,0.11973171,3551.0,74.0,0.374357998371124,0.0114957,0.362274,0.020491,"3,4,5,30,32",2019-05-17,2021-10-14,2021-10-29 00:00:00,TOI-270 c / TOI 270.01
664.01,55092869,4.736094,4.736094,0.000234,7.108413,0.045973,13.692776,0.177403,5370.0,,2.72,,,,9,2019-05-07,2019-05-07,2021-10-29 00:00:00,KELT 11b
655.01,35516889,0.7888392476341,0.7888392476341,4.881454e-07,1.59671071367818,0.009605379,16.1247128871715,0.7670051,5568.0,,1.0280499458313,0.0486734,0.97,0.127479,"9,36",2019-05-07,2021-10-07,2021-10-29 00:00:00,WASP-19 b
660.01,53189332,9.28970064857972,9.28970064857972,1.4928728e-05,5.32132891529916,0.0859168,11.2888181678088,0.5416014,6055.0,,1.41549003124237,0.0622965,1.24,0.190383,"9,36",2019-05-07,2021-10-07,2021-10-29 00:00:00,WASP-106 b
656.01,36734222,0.813473629336666,0.813473629336666,2.942888e-07,1.23067646131709,0.0048376364,13.1601532588839,1.2992077,4400.0,,0.757649004459381,0.0747613,0.65,0.082049,"9,35",2019-05-07,2021-10-07,2021-10-29 00:00:00,WASP-43 b
667.01,101955023,1.6289321997705,1.6289321997705,3.783475e-06,0.809275952968085,0.09636562,1.21456642396614,0.15818869,3202.0,,0.226407006382942,0.00697427,0.195794,0.0201573,"9,10,36",2019-05-07,2021-10-07,2021-10-29 00:00:00,GJ 1132 b
683.01,437248515,3.4058883,3.4058883,2e-06,2.364,0.126,16.8846,0.746487,6302.0,,1.27,0.05,1.2,0.166911,"9,36",2019-05-07,2021-11-10,2021-11-13 12:04:54,WASP-31 b
675.01,169226822,4.17806358005591,4.17806358005591,1.9328872e-06,4.29452190278755,0.022794161,14.7182432332559,0.6533858,5620.0,,1.34736001491547,0.0593367,1.05,0.130177,"9,35",2019-05-06,2021-10-11,2021-10-29 00:00:00,WASP-127 b
700.01,150428135,16.0511408002265,16.0511408002265,2.0379823e-05,1.3685026594309,0.06198742,2.5737771179848,0.11021969,3482.0,,0.419456988573074,0.0125728,0.413261,0.0203393,"1,3,4,5,6,7,8,9,10,11,13,27,28,30,31,33,34,35,36",2019-04-30,2021-11-12,2021-11-13 12:04:54,TOI-700 c / TOI-700.01 ; epoch from qlp-s38-tois; all other parameters from spoc-s01-s36
700.02,150428135,37.4242176817627,37.4242176817627,0.00024682574,3.33493444424068,0.41507503,1.20108739831032,0.32074878,3482.0,,0.419456988573074,0.0125728,0.413261,0.0203393,"1,3,4,5,6,7,8,9,10,11,13,27,28,30,31,33,34,35,36",2019-04-30,2021-10-11,2021-10-29 00:00:00,TOI-700 d / TOI-700.02
704.01,260004324,3.81429732345918,3.81429732345918,7.264952e-06,1.41309593299463,0.27407005,1.09735547728095,0.88555473,3625.0,69.0,0.50406801700592,0.0149315,0.502062,0.0202567,"1,2,3,4,5,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36",2019-04-30,2021-10-07,2021-10-29 00:00:00,LHS 1815 b
562.01,413248763,3.9306048,3.9306048,6.5e-06,1.207,0.348,1.29751,0.0585498,3505.0,90.0,0.36,0.01,0.34592,0.0201631,"8,35",2019-04-13,2021-06-11,2021-10-29 00:00:00,CP GJ 357 b
576.01,408310006,5.4435371,5.4435371,5.6e-06,3.537,0.157,7.23051,0.331953,6313.0,196.0,1.25,0.06,1.141,0.147016,"8,35",2019-04-05,2021-06-11,2021-10-29 00:00:00,WASP-166 b
560.01,101011575,6.39805963618148,6.39805963618148,1.4625548e-05,2.13217527113678,0.17321534,2.52229903350485,0.54836583,4695.0,92.0,0.630294024944305,0.0506985,0.75,0.0893632,"8,34",2019-04-05,2019-04-05,2021-10-29 00:00:00,
547.01,36352297,1.5089635,1.5089635,8.9e-06,2.373,0.245,20.5944,,5950.0,,1.29,,1.26,,"6,33",2019-03-28,2021-02-19,2021-10-29 00:00:00,CoRoT-1 b
500.01,134200185,0.548155112002868,0.548155112002868,9.834667e-06,0.982485105738945,0.16401854,1.29516399703341,0.32781905,4590.0,176.0,0.751824975013733,0.0631583,0.7,0.0800304,"6,7,8,33,34,35",2019-03-08,2021-07-15,2021-10-29 00:00:00,Crowded.
455.01,98796344,5.3587698,5.3587698,9.4e-06,1.261,0.126,1.22302,0.0503697,3562.0,83.0,0.28,0.01,0.249439,0.0201557,"4,31",2019-02-08,2021-02-01,2021-10-29 00:00:00,two stars on the same pixel; could also be 98796342
431.01,31374837,12.4610086397464,12.4610086397464,1.3197421e-05,3.31957772886794,0.09169284,3.28094917884097,0.32790983,4891.0,111.8,0.726631999015808,0.042995,0.8,0.0890284,"5,6,32",2019-02-08,2021-07-15,2021-10-29 00:00:00,potential multi
185.01,100100827,0.9414523,0.9414523,1e-07,2.048,0.128,15.4874,0.787181,6400.0,,1.35,0.07,1.2,0.174553,"2,3,29,30",2018-12-20,2020-12-21,2021-10-29 00:00:00,WASP-18 b
256.01,92226327,24.73734116,24.73734116,0.0001405365,2.06905097692685,0.12742876,1.84394530919894,0.114572965,3131.0,,0.215534999966621,0.00655817,0.184589,0.0201091,"3,30",2018-11-30,2018-11-30,2021-11-02 14:52:13,LHS-1140 b
